Drug ID,Drug Name,Generic Name,symptoms,dosageform,Neonates (0-28 days),Infants (1 month-1 year),toddlers (1-3 years),young children (3-12 years),Adolescents (12-18 years), Adults (18-60 years),Geriatrics (60+ years),Route of Administration,Side Effects,Contraindications,Warnings and Precautions,Manufacturer,Alternative 1,Alternative 2
1,Aspirin,Acetylsalicylic Acid,Headache,Tablet,Not recommended due to Reye’s syndrome risk,Not recommended due to Reye’s syndrome risk,Avoid unless prescribed,Avoid unless prescribed,325-650 mg every 4-6 hours (max 4 g/day),81-325 mg daily (as antiplatelet),81-325 mg daily (as antiplatelet),Oral,Stomach irritation,Allergy to NSAIDs,Gastric ulcers: risk of bleeding,PharmaCorp,Ibuprofen,Acetaminophen (Paracetamol)
2,Amoxicillin,Amoxicillin,Bacterial Infections,Capsule,20-30 mg/kg/day in divided doses every 12 hours,20-40 mg/kg/day divided every 8-12 hours,20-40 mg/kg/day divided every 8-12 hours,40-90 mg/kg/day divided every 8-12 hours,500-875 mg every 8-12 hours,500-875 mg every 8-12 hours,"Same as adult dose, adjust for kidney function",Oral,Nausea, Allergic reactions,Take with food to reduce stomach upset,MediPharm,Cephalexin,Azithromycin
3,Lisinopril,Lisinopril,Hypertension,Tablet,Not recommended,Not recommended,0.07 mg/kg once daily (max 5 mg/day),0.07 mg/kg once daily (max 5 mg/day),10-40 mg once daily,10-40 mg once daily,"Start at 5 mg/day, adjust based on renal function",Oral,Cough, Kidney problems,Monitor kidney function regularly,HealthMeds,Enalapril,Losartan
4,Albuterol,Albuterol,Asthma,Inhaler,Not commonly used,0.1-0.15 mg/kg via nebulizer every 4-6 hours,0.1-0.15 mg/kg via nebulizer every 4-6 hours,1.25-2.5 mg via nebulizer every 4-6 hours,2.5 mg via nebulizer or 90 mcg inhaler every 4-6 hours as needed,2.5 mg via nebulizer or 90 mcg inhaler every 4-6 hours as needed,Start with lowest effective dose,Inhalation,Tremor, Rapid heart rate,Use as needed for acute asthma symptoms,RespirePharma,Salmeterol,Formoterol
5,Omeprazole,Omeprazole,Acid Reflux,Capsule,0.7 mg/kg once daily,1 mg/kg once daily,10-20 mg once daily,10-20 mg once daily,20-40 mg once daily,20-40 mg once daily,20-40 mg once daily,Oral,Headache, Abdominal pain,Take before a meal,MediCare,Esomeprazole,Pantoprazole
6,Levothyroxine,Levothyroxine,Thyroid Disorder,Tablet,10-15 mcg/kg/day,4-6 mcg/kg/day,4-6 mcg/kg/day,4-6 mcg/kg/day,1.6 mcg/kg/day,25-200 mcg/day based on thyroid-stimulating hormone (TSH)  levels,25-200 mcg/day based on thyroid-stimulating hormone (TSH)  levels,Oral,Dizziness, Heart palpitations,Take on an empty stomach,EndoHealth,Liothyronine,Natural Desiccated Thyroid (Armour Thyroid)
7,Simvastatin,Simvastatin,Hyperlipidemia,Tablet,Not recommended,Not recommended,Not recommended,10 mg once daily,10-40 mg once daily,10-40 mg once daily,"Start at lower dose, monitor liver function",Oral,Muscle pain, Liver problems,Avoid grapefruit juice,PharmaCare,Rosuvastatin,Atorvastatin
8,Metformin,Metformin,Type 2 Diabetes,Tablet,Not recommended,Not recommended,Not recommended,"500 mg once daily, increase to 2000 mg/day max",500-2000 mg/day in divided doses,500-2000 mg/day in divided doses,"Caution in renal impairment, max dose based on kidney function",Oral,Diarrhea, Lactic acidosis,Take with meals,DiabetesRx,Sitagliptin,Pioglitazone
9,Ibuprofen,Ibuprofen,Pain and Inflammation,Tablet,Avoid unless prescribed,5-10 mg/kg every 6-8 hours,10 mg/kg every 6-8 hours (max 40 mg/kg/day),10 mg/kg every 6-8 hours (max 40 mg/kg/day),200-800 mg every 6-8 hours (max 3200 mg/day),200-800 mg every 6-8 hours (max 3200 mg/day),"Use lower dose, monitor kidney function",Oral,Upset stomach, GI bleeding,Anticoagulants: increased bleeding risk,ReliefMeds,Acetaminophen (Paracetamol),Naproxen
10,Ciprofloxacin,Ciprofloxacin,Bacterial Infections,Tablet,Not recommended,Not recommended,Use only if necessary (10-20 mg/kg/day),Use only if necessary (10-20 mg/kg/day),250-750 mg every 12 hours,250-750 mg every 12 hours,Adjust for renal function,Oral,Nausea, Tendon rupture,Take 2 hours before or 6 hours after antacids,PharmaX,Levofloxacin,Azithromycin
